codigo_mgn,nombre_municipio,google_n_edificios,google_area_total_m2,google_conf_promedio,microsoft_n_edificios,diferencia_n_edificios,ratio_google_vs_msft
47001,SANTA MARTA,183652.0,16049617.35,0.7747572757171172,,,
20001,VALLEDUPAR,171425.0,15392426.83,0.771950714306548,,,
76109,BUENAVENTURA,103890.0,7666563.16,0.7803211117528155,33104.0,70786.0,3.1383
05837,TURBO,78927.0,6047187.82,0.7841047499588227,,,
18001,FLORENCIA,58135.0,7363355.08,0.7753084183366303,26897.0,31238.0,2.1614
52835,SAN ANDRES DE TUMACO,50493.0,3778355.86,0.7791699027587983,29307.0,21186.0,1.7229
23807,TIERRALTA,43123.0,3087942.01,0.7859106416529462,,,
47189,CIÉNAGA,42068.0,3976137.59,0.7682698060283351,,,
19130,CAJIBÍO,41281.0,2578858.57,0.7883644994065067,23771.0,17510.0,1.7366
19256,EL TAMBO,38900.0,2452836.82,0.7811532982005142,34366.0,4534.0,1.1319
13244,EL CARMEN DE BOLÍVAR,38386.0,2552167.74,0.7788306127233888,,,
05045,APARTADÓ,36337.0,3606578.04,0.7734313592206291,,,
81794,TAME,35958.0,3200496.79,0.7837573446799043,,,
19698,SANTANDER DE QUILICHAO,35691.0,3851788.72,0.7833725785211958,30842.0,4849.0,1.1572
81065,ARAUQUITA,35077.0,2934442.32,0.7865062804686832,,,
20013,AGUSTÍN CODAZZI,34733.0,2714606.04,0.7846586013301472,,,
54810,TIBÚ,32843.0,2651924.01,0.7892636056389489,,,
95001,SAN JOSÉ DEL GUAVIARE,32695.0,3166336.55,0.7858066829790488,21446.0,11249.0,1.5245
05490,NECOCLÍ,32183.0,2344790.56,0.7863920858838517,,,
19473,MORALES,31057.0,1969077.44,0.7866434394822424,16396.0,14661.0,1.8942
47288,FUNDACIÓN,30591.0,2535488.89,0.7804544114281978,,,
05154,CAUCASIA,30474.0,2771754.28,0.7742826475027892,,,
44650,SAN JUAN DEL CESAR,28564.0,2022584.94,0.7824434462960369,,,
23466,MONTELÍBANO,28089.0,2516769.79,0.7751061020328243,,,
86568,PUERTO ASÍS,27581.0,2666420.48,0.7818945759762156,21234.0,6347.0,1.2989
81736,SARAVENA,25140.0,2003241.66,0.7791770206841687,,,
23855,VALENCIA,25094.0,1716361.82,0.7816751135729656,,,
70713,SAN ONOFRE,24614.0,1698411.91,0.7812478630047941,,,
44279,FONSECA,23632.0,1706897.42,0.7849059918754231,,,
44090,DIBULLA,23094.0,1327103.77,0.7657824110158482,,,
86001,MOCOA,22816.0,2246954.44,0.7615199991234222,12229.0,10587.0,1.8657
05665,SAN PEDRO DE URABA,22034.0,1644754.8,0.7858836071525824,,,
13657,SAN JUAN NEPOMUCENO,21831.0,1446954.32,0.7803491502908707,,,
18753,SAN VICENTE DEL CAGUÁN,21599.0,2561137.07,0.7852142599194406,23587.0,-1988.0,0.9157
13442,MARÍA LA BAJA,20569.0,1460888.03,0.7811707132091983,,,
20621,LA PAZ,20413.0,1379884.49,0.7758110125900162,,,
20400,LA JAGUA DE IBIRICO,20110.0,1649721.48,0.7776224167081055,,,
47053,ARACATACA,19780.0,1714790.68,0.7789224924165824,,,
13688,SANTA ROSA DEL SUR,18908.0,1491495.83,0.7915588269515549,,,
05172,CHIGORODÓ,18871.0,1883085.16,0.7787525727306449,,,
73168,CHAPARRAL,18703.0,1726520.21,0.7731384483772658,16848.0,1855.0,1.1101
86320,ORITO,18074.0,1627162.77,0.7850301372136771,17840.0,234.0,1.0131
19532,PATÍA,17995.0,1499369.19,0.7852134037232564,11030.0,6965.0,1.6315
05147,CAREPA,16657.0,1726619.67,0.7787213483820616,,,
70508,OVEJAS,16588.0,1072348.97,0.7740009946949603,,,
86865,VALLE DEL GUAMUEZ,16228.0,1494716.33,0.786876682277545,14349.0,1879.0,1.1309
05736,SEGOVIA,16158.0,1196185.71,0.772224749350167,,,
18150,CARTAGENA DEL CHAIRÁ,15932.0,1858541.03,0.7906614486567913,14037.0,1895.0,1.135
20570,PUEBLO BELLO,15833.0,988961.25,0.7751118549864208,,,
13670,SAN PABLO,15636.0,1120368.62,0.7817641404451267,,,
81300,FORTUL,15564.0,1335399.01,0.7888706887689539,,,
19137,CALDONO,15303.0,1237894.11,0.7824669803306541,12546.0,2757.0,1.2198
05250,EL BAGRE,14768.0,1314787.03,0.7679435604008668,,,
13654,SAN JACINTO,14706.0,976381.31,0.7784804841561268,,,
23580,PUERTO LIBERTADOR,14553.0,1132287.2,0.7800528619528619,,,
19780,SUÁREZ,14544.0,892501.94,0.78427675330033,10556.0,3988.0,1.3778
54206,CONVENCIÓN,14277.0,1117605.38,0.7706273236674371,,,
76275,FLORIDA,14231.0,1668702.76,0.7697713161408193,8375.0,5856.0,1.6992
70418,LOS PALMITOS,13792.0,859065.11,0.780619061774942,,,
19050,ARGELIA,13691.0,976886.81,0.7758452998320065,9940.0,3751.0,1.3774
19110,BUENOS AIRES,13439.0,1082014.32,0.7916001934667758,11444.0,1995.0,1.1743
54720,SARDINATA,13388.0,1107797.79,0.7756514639976098,,,
86885,VILLAGARZÓN,13366.0,1299571.08,0.780040573095915,9550.0,3816.0,1.3996
05604,REMEDIOS,13248.0,963031.32,0.776231755736715,,,
20045,BECERRIL,12958.0,928065.51,0.7814006559654267,,,
76563,PRADERA,12953.0,1560035.02,0.7696029414035359,7428.0,5525.0,1.7438
19075,BALBOA,12679.0,882803.26,0.7855162157898888,8853.0,3826.0,1.4322
05120,CÁCERES,12425.0,972547.31,0.7781822857142857,,,
41020,ALGECIRAS,12338.0,1130462.73,0.7701071567514994,8278.0,4060.0,1.4905
18592,PUERTO RICO,12306.0,1327657.96,0.7833698114740777,11430.0,876.0,1.0766
19142,CALOTO,12220.0,1291821.49,0.7948248199672667,9562.0,2658.0,1.278
20750,SAN DIEGO,12205.0,904327.25,0.7755407701761573,,,
86757,SAN MIGUEL,12160.0,927004.6,0.7831234457236842,8558.0,3602.0,1.4209
13473,MORALES,11982.0,881383.34,0.7866211901185111,,,
19450,MERCADERES,11486.0,905417.38,0.7837605084450635,7167.0,4319.0,1.6026
19821,TORIBIO,11452.0,781204.89,0.7855486989172197,10253.0,1199.0,1.1169
05790,TARAZÁ,11438.0,817098.43,0.7750246022031825,,,
95025,EL RETORNO,11332.0,927765.43,0.779371637839746,8453.0,2879.0,1.3406
05895,ZARAGOZA,11188.0,732546.09,0.7683821862710047,,,
13744,SIMITÍ,11018.0,842676.78,0.782377527681975,,,
05893,YONDÓ,10688.0,890286.77,0.7764157092065868,,,
54800,TEORAMA,10550.0,883596.13,0.7807728151658768,,,
19212,CORINTO,10517.0,904082.28,0.7782594941523249,8784.0,1733.0,1.1973
70473,MORROA,10424.0,654654.86,0.7891905794320798,,,
19455,MIRANDA,10353.0,1214712.67,0.7853661740558292,6625.0,3728.0,1.5627
13212,CÓRDOBA,10271.0,677377.65,0.7746357998247493,,,
50350,LA MACARENA,9900.0,1060861.99,0.7922116666666666,12895.0,-2995.0,0.7677
54250,EL TARRA,9826.0,790395.83,0.7839741298595563,,,
18410,LA MONTAÑITA,9501.0,931508.71,0.7774844121671403,7701.0,1800.0,1.2337
50590,PUERTO RICO,9290.0,750737.81,0.7734720452099031,7422.0,1868.0,1.2517
18247,EL DONCELLO,9151.0,1184181.67,0.7766327395913015,5815.0,3336.0,1.5737
05361,ITUANGO,9063.0,627500.59,0.7652207767847291,,,
54245,EL CARMEN,8903.0,675892.62,0.773194249129507,,,
86571,PUERTO GUZMÁN,8326.0,697891.91,0.7827610377131876,10746.0,-2420.0,0.7748
86569,PUERTO CAICEDO,7768.0,691167.94,0.7869125128733264,6093.0,1675.0,1.2749
54670,SAN CALIXTO,7736.0,539756.57,0.7820703464322647,,,
05234,DABEIBA,7696.0,506171.25,0.7632700363825363,,,
05040,ANORÍ,7652.0,494523.08,0.7754495687401987,,,
52540,POLICARPA,7628.0,506410.02,0.7796662821185107,5303.0,2325.0,1.4384
52256,EL ROSARIO,7594.0,450714.42,0.7852827627074005,4855.0,2739.0,1.5642
73555,PLANADAS,7276.0,540162.27,0.7585172759758109,11274.0,-3998.0,0.6454
52418,LOS ANDES,7184.0,417656.86,0.7658053034521157,3875.0,3309.0,1.8539
13042,ARENAL,7022.0,494683.71,0.7805228424950157,,,
50325,MAPIRIPÁN,6776.0,516069.95,0.7748255165289256,4059.0,2717.0,1.6694
27361,ISTMINA,6766.0,670172.07,0.7856862843629915,732.0,6034.0,9.2432
54344,HACARÍ,6756.0,494104.11,0.7916170071047958,,,
50577,PUERTO LLERAS,6595.0,577680.31,0.7710042304776346,5569.0,1026.0,1.1842
19364,JAMBALÓ,6514.0,414810.28,0.7897448111759289,5065.0,1449.0,1.2861
19318,GUAPI,6403.0,536560.44,0.7981742620646571,5344.0,1059.0,1.1982
27006,ACANDÍ,6395.0,463518.25,0.7914735261923378,,,
05854,VALDIVIA,6329.0,440097.91,0.776170358666456,,,
18256,EL PAUJIL,6283.0,739350.75,0.7698970555467134,4686.0,1597.0,1.3408
70204,COLOSO,6278.0,403210.04,0.7796783370500159,,,
