codigo_mgn,nombre_municipio,google_total_docs,google_geometrias_cargadas,google_sin_geometria,google_geometria_invalida,microsoft_total_docs,microsoft_geometrias_cargadas,microsoft_sin_geometria,microsoft_geometria_invalida,microsoft_duplicados_google,microsoft_unicos,tasa_duplicacion_ms_google
05031,AMALFI,2983,2983,0,0,5845,5845,0,0,775,5070,0.132592
05040,ANORÍ,7652,7652,0,0,1695,1695,0,0,802,893,0.473156
05045,APARTADÓ,36337,36337,0,0,2652,2652,0,0,2111,541,0.796003
05107,BRICEÑO,3565,3565,0,0,3316,3316,0,0,787,2529,0.237334
05120,CÁCERES,12425,12425,0,0,6359,6359,0,0,3138,3221,0.493474
05147,CAREPA,16657,16657,0,0,7209,7209,0,0,4982,2227,0.691081
05154,CAUCASIA,30474,30474,0,0,10750,10750,0,0,7687,3063,0.71507
05172,CHIGORODÓ,18871,18871,0,0,8846,8846,0,0,5643,3203,0.637915
05234,DABEIBA,7696,7696,0,0,7911,7911,0,0,1982,5929,0.250537
05250,EL BAGRE,14768,14768,0,0,1751,1751,0,0,562,1189,0.320959
05361,ITUANGO,9063,9063,0,0,8361,8361,0,0,2445,5916,0.292429
05475,MURINDÓ,0,0,0,0,1331,1331,0,0,0,1331,0.0
05480,MUTATÁ,5537,5537,0,0,4295,4295,0,0,1713,2582,0.398836
05490,NECOCLÍ,32183,32183,0,0,10119,10119,0,0,5479,4640,0.541457
05495,NECHÍ,3492,3492,0,0,4519,4519,0,0,705,3814,0.156008
05604,REMEDIOS,13248,13248,0,0,5180,5180,0,0,2032,3148,0.392278
05665,SAN PEDRO DE URABA,22034,22034,0,0,3086,3086,0,0,1678,1408,0.543746
05736,SEGOVIA,16158,16158,0,0,1140,1140,0,0,26,1114,0.022807
05790,TARAZÁ,11438,11438,0,0,8427,8427,0,0,2712,5715,0.321823
05837,TURBO,78927,78927,0,0,28240,28240,0,0,17859,10381,0.632401
05854,VALDIVIA,6329,6329,0,0,4485,4485,0,0,1109,3376,0.247269
05873,VIGÍA DEL FUERTE,0,0,0,0,1714,1714,0,0,0,1714,0.0
05893,YONDÓ,10688,10688,0,0,7133,7133,0,0,4020,3113,0.563578
05895,ZARAGOZA,11188,11188,0,0,4,4,0,0,2,2,0.5
13042,ARENAL,7022,7022,0,0,3888,3888,0,0,2306,1582,0.593107
13160,CANTAGALLO,4822,4822,0,0,3936,3936,0,0,1577,2359,0.400661
13212,CÓRDOBA,10271,10271,0,0,5980,5980,0,0,3851,2129,0.64398
13244,EL CARMEN DE BOLÍVAR,38386,38386,0,0,24235,24235,0,0,16809,7426,0.693584
13248,EL GUAMO,4923,4923,0,0,3056,3056,0,0,2199,857,0.719568
13442,MARÍA LA BAJA,20569,20569,0,0,13881,13881,0,0,11056,2825,0.796484
13473,MORALES,11982,11982,0,0,6896,6896,0,0,5318,1578,0.771172
13654,SAN JACINTO,14706,14706,0,0,9088,9088,0,0,6368,2720,0.700704
13657,SAN JUAN NEPOMUCENO,21831,21831,0,0,11579,11579,0,0,9061,2518,0.782537
13670,SAN PABLO,15636,15636,0,0,9776,9776,0,0,5848,3928,0.5982
13688,SANTA ROSA DEL SUR,18908,18908,0,0,13933,13933,0,0,4290,9643,0.307902
13744,SIMITÍ,11018,11018,0,0,7194,7194,0,0,4652,2542,0.64665
13894,ZAMBRANO,6080,6080,0,0,3500,3500,0,0,2461,1039,0.703143
18001,FLORENCIA,58135,58135,0,0,26896,26896,0,0,18142,8754,0.674524
18029,ALBANIA,3012,3012,0,0,2096,2096,0,0,1177,919,0.561546
18094,BELÉN DE LOS ANDAQUÍES,5328,5328,0,0,3765,3765,0,0,1562,2203,0.414874
