codigo_mgn,nombre_municipio,total_edificios,total_area_m2
05031,AMALFI,8821,985971.92
05040,ANORÍ,9343,647958.8999999999
05045,APARTADÓ,38984,4082339.7
05107,BRICEÑO,6874,503166.81000000006
05120,CÁCERES,18778,1644384.0699999998
05147,CAREPA,23857,3155083.9699999997
05154,CAUCASIA,41199,4644825.67
05172,CHIGORODÓ,27713,3492399.49
05234,DABEIBA,15604,1229013.53
05250,EL BAGRE,16514,1420185.6500000001
05361,ITUANGO,17420,1381728.74
05475,MURINDÓ,1330,110158.12
05480,MUTATÁ,9828,934232.98
05490,NECOCLÍ,42229,3111582.9
05495,NECHÍ,8004,585767.46
05604,REMEDIOS,18418,1420951.56
05665,SAN PEDRO DE URABA,25090,1914195.6300000001
05736,SEGOVIA,17289,1294046.74
05790,TARAZÁ,19864,1695823.1400000001
05837,TURBO,106987,9215013.0
05854,VALDIVIA,10797,819374.75
05873,VIGÍA DEL FUERTE,1714,162763.2
05893,YONDÓ,17818,1755427.28
05895,ZARAGOZA,11185,732294.94
13042,ARENAL,10892,848199.68
13160,CANTAGALLO,8749,716841.29
13212,CÓRDOBA,16228,1171148.92
13244,EL CARMEN DE BOLÍVAR,62611,4740940.73
13248,EL GUAMO,7976,662958.97
13442,MARÍA LA BAJA,34446,2784519.48
13473,MORALES,18851,1583676.54
13654,SAN JACINTO,23792,1846808.74
13657,SAN JUAN NEPOMUCENO,33400,2640633.9299999997
13670,SAN PABLO,25401,2237018.48
13688,SANTA ROSA DEL SUR,32819,3093849.95
13744,SIMITÍ,18192,1644780.5
13894,ZAMBRANO,9580,795753.31
18001,FLORENCIA,58134,7363259.52
18029,ALBANIA,3011,330888.5
18094,BELÉN DE LOS ANDAQUÍES,5326,574541.23
18150,CARTAGENA DEL CHAIRÁ,15928,1857733.53
18205,CURILLO,3853,397624.53
18247,EL DONCELLO,9149,1184000.48
18256,EL PAUJIL,6278,738960.14
18410,LA MONTAÑITA,9491,930598.56
18460,MILÁN,3620,363997.31
18479,MORELIA,2400,275221.76
18592,PUERTO RICO,12306,1327657.96
18610,SAN JOSÉ DEL FRAGUA,5238,526314.5
18753,SAN VICENTE DEL CAGUÁN,21594,2560441.86
18756,SOLANO,6427,634519.51
18785,SOLITA,2985,306518.6
18860,VALPARAÍSO,4912,537701.01
19050,ARGELIA,13690,976863.95
19075,BALBOA,12679,882803.26
19110,BUENOS AIRES,21741,1867839.5299999998
19130,CAJIBÍO,41275,2578361.95
19137,CALDONO,16429,1343604.56
19142,CALOTO,13980,1513965.07
19212,CORINTO,12194,1096502.17
19256,EL TAMBO,38896,2452272.98
19318,GUAPI,6402,536537.05
19364,JAMBALÓ,7202,469563.46
19450,MERCADERES,11474,904504.53
19455,MIRANDA,11571,1400335.1400000001
19473,MORALES,33276,2128315.42
19532,PATÍA,17993,1499029.89
19698,SANTANDER DE QUILICHAO,41468,4641114.41
19780,SUÁREZ,25079,1817147.5899999999
19809,TIMBIQUÍ,7049,557796.58
19821,TORIBIO,13428,954883.2
20001,VALLEDUPAR,186385,16919240.150000002
20013,AGUSTÍN CODAZZI,37305,2906533.11
20045,BECERRIL,20957,1721809.82
20400,LA JAGUA DE IBIRICO,34729,3317412.56
20443,MANAURE BALCÓN DEL CESAR,9387,884813.81
20570,PUEBLO BELLO,17417,1067109.42
20621,LA PAZ,23934,1713161.97
20750,SAN DIEGO,12250,908146.11
23466,MONTELÍBANO,46770,5011484.0
23580,PUERTO LIBERTADOR,28274,2392780.73
23682,SAN JOSE DE URE,8017,632270.27
23807,TIERRALTA,47299,3432772.3899999997
23855,VALENCIA,25068,1714688.36
27006,ACANDÍ,8396,642687.88
27099,BOJAYA,2004,172831.14
27150,CARMEN DEL DARIEN,4113,320560.27
27205,CONDOTO,380,29132.07
27250,EL LITORAL DEL SAN JUAN,1376,138896.71
27361,ISTMINA,6789,672005.99
27425,MEDIO ATRATO,1926,175017.66
27491,NÓVITA,907,92695.52
27615,RIOSUCIO,7104,556016.89
27745,SIPÍ,318,21624.35
27800,UNGUÍA,11401,993783.74
41020,ALGECIRAS,12333,1130118.56
44090,DIBULLA,35075,2279645.71
44279,FONSECA,36952,3249542.83
44650,SAN JUAN DEL CESAR,44134,3744620.5
47001,SANTA MARTA,251274,30249368.490000002
47053,ARACATACA,29409,2676722.9000000004
47189,CIÉNAGA,63972,7439113.3100000005
47288,FUNDACIÓN,45631,4422608.91
50325,MAPIRIPÁN,6775,516050.3
50330,MESETAS,5795,537491.67
