codigo_mgn,nombre_municipio,departamento,subregion_pdet,google_edificios,google_area_m2,microsoft_edificios_original,microsoft_area_m2_original,microsoft_duplicados_con_google,microsoft_unicos_agregados,microsoft_area_m2_unica_agregada,total_edificios_sin_duplicados,total_area_m2_sin_duplicados,overlap_min_ratio,fuente_prioritaria
05031,AMALFI,,BAJO CAUCA Y NORDESTE ANTIOQUEÑO,2983,184780.47,5845,800822.9,775,5070,711771.09,8053,896551.56,0.5,google
05040,ANORÍ,,BAJO CAUCA Y NORDESTE ANTIOQUEÑO,7652,492328.57,1695,153525.3,802,893,75423.57,8545,567752.14,0.5,google
05045,APARTADÓ,,URABÁ ANTIOQUEÑO,36337,3599828.36,2652,476181.7,2111,541,30279.71,36878,3630108.07,0.5,google
05107,BRICEÑO,,BAJO CAUCA Y NORDESTE ANTIOQUEÑO,3565,208235.2,3316,295078.0,787,2529,200444.21,6094,408679.41,0.5,google
05120,CÁCERES,,BAJO CAUCA Y NORDESTE ANTIOQUEÑO,12425,968384.31,6359,672291.45,3138,3221,242993.83,15646,1211378.14,0.5,google
05147,CAREPA,,URABÁ ANTIOQUEÑO,16657,1723540.27,7209,1429135.03,4982,2227,185349.63,18884,1908889.9,0.5,google
05154,CAUCASIA,,BAJO CAUCA Y NORDESTE ANTIOQUEÑO,30474,2759529.85,10750,1875380.93,7687,3063,213863.07,33537,2973392.92,0.5,google
05172,CHIGORODÓ,,URABÁ ANTIOQUEÑO,18871,1879754.55,8846,1610024.59,5643,3203,249224.35,22074,2128978.9,0.5,google
05234,DABEIBA,,URABÁ ANTIOQUEÑO,7696,504801.46,7911,722954.9,1982,5929,404886.21,13625,909687.67,0.5,google
05250,EL BAGRE,,BAJO CAUCA Y NORDESTE ANTIOQUEÑO,14768,1308376.95,1751,105870.57,562,1189,63222.06,15957,1371599.01,0.5,google
05361,ITUANGO,,BAJO CAUCA Y NORDESTE ANTIOQUEÑO,9063,625232.91,8361,754570.87,2445,5916,396551.98,14979,1021784.89,0.5,google
05475,MURINDÓ,,CHOCÓ,0,0.0,1331,110248.52,0,1331,110248.52,1331,110248.52,0.5,google
05480,MUTATÁ,,URABÁ ANTIOQUEÑO,5537,468359.39,4295,465526.05,1713,2582,201442.02,8119,669801.41,0.5,google
05490,NECOCLÍ,,URABÁ ANTIOQUEÑO,32183,2340769.38,10119,776619.55,5479,4640,259097.89,36823,2599867.27,0.5,google
05495,NECHÍ,,BAJO CAUCA Y NORDESTE ANTIOQUEÑO,3492,230859.08,4519,354127.2,705,3814,293048.89,7306,523907.97,0.5,google
05604,REMEDIOS,,BAJO CAUCA Y NORDESTE ANTIOQUEÑO,13248,958174.8,5180,458981.65,2032,3148,235379.55,16396,1193554.35,0.5,google
05665,SAN PEDRO DE URABA,,URABÁ ANTIOQUEÑO,22034,1640750.64,3086,271717.85,1678,1408,92573.7,23442,1733324.34,0.5,google
05736,SEGOVIA,,BAJO CAUCA Y NORDESTE ANTIOQUEÑO,16158,1190207.16,1140,98403.28,26,1114,96180.68,17272,1286387.84,0.5,google
05790,TARAZÁ,,BAJO CAUCA Y NORDESTE ANTIOQUEÑO,11438,813707.77,8427,878742.09,2712,5715,470808.31,17153,1284516.08,0.5,google
05837,TURBO,,URABÁ ANTIOQUEÑO,78927,6036411.11,28240,3189172.78,17859,10381,709058.07,89308,6745469.18,0.5,google
05854,VALDIVIA,,BAJO CAUCA Y NORDESTE ANTIOQUEÑO,6329,438261.21,4485,380713.92,1109,3376,262269.01,9705,700530.22,0.5,google
