fuente,codigo_mgn,nombre_municipio,n_edificios,area_total_m2
google,05031,AMALFI,2983,184780.47
microsoft,05031,AMALFI,5845,800822.9
google,05040,ANORÍ,7652,492328.57
microsoft,05040,ANORÍ,1695,153525.3
google,05045,APARTADÓ,36337,3599828.36
microsoft,05045,APARTADÓ,2652,476181.7
google,05107,BRICEÑO,3565,208235.2
microsoft,05107,BRICEÑO,3316,295078.0
google,05120,CÁCERES,12425,968384.31
microsoft,05120,CÁCERES,6359,672291.45
google,05147,CAREPA,16657,1723540.27
microsoft,05147,CAREPA,7209,1429135.03
google,05154,CAUCASIA,30474,2759529.85
microsoft,05154,CAUCASIA,10750,1875380.93
google,05172,CHIGORODÓ,18871,1879754.55
microsoft,05172,CHIGORODÓ,8846,1610024.59
google,05234,DABEIBA,7696,504801.46
microsoft,05234,DABEIBA,7911,722954.9
google,05250,EL BAGRE,14768,1308376.95
microsoft,05250,EL BAGRE,1751,105870.57
google,05361,ITUANGO,9063,625232.91
microsoft,05361,ITUANGO,8361,754570.87
google,05475,MURINDÓ,0,0.0
microsoft,05475,MURINDÓ,1331,110248.52
google,05480,MUTATÁ,5537,468359.39
microsoft,05480,MUTATÁ,4295,465526.05
google,05490,NECOCLÍ,32183,2340769.38
microsoft,05490,NECOCLÍ,10119,776619.55
google,05495,NECHÍ,3492,230859.08
microsoft,05495,NECHÍ,4519,354127.2
google,05604,REMEDIOS,13248,958174.8
microsoft,05604,REMEDIOS,5180,458981.65
google,05665,SAN PEDRO DE URABA,22034,1640750.64
microsoft,05665,SAN PEDRO DE URABA,3086,271717.85
google,05736,SEGOVIA,16158,1190207.16
microsoft,05736,SEGOVIA,1140,98403.28
google,05790,TARAZÁ,11438,813707.77
microsoft,05790,TARAZÁ,8427,878742.09
google,05837,TURBO,78927,6036411.11
microsoft,05837,TURBO,28240,3189172.78
google,05854,VALDIVIA,6329,438261.21
microsoft,05854,VALDIVIA,4485,380713.92
google,05873,VIGÍA DEL FUERTE,0,0.0
microsoft,05873,VIGÍA DEL FUERTE,1714,162763.2
google,05893,YONDÓ,10688,885311.38
microsoft,05893,YONDÓ,7133,865296.28
google,05895,ZARAGOZA,11188,729026.66
microsoft,05895,ZARAGOZA,4,255.94
google,13042,ARENAL,7022,491995.58
microsoft,13042,ARENAL,3888,354688.87
google,13160,CANTAGALLO,4822,337104.88
microsoft,13160,CANTAGALLO,3936,378708.64
google,13212,CÓRDOBA,10271,674229.79
microsoft,13212,CÓRDOBA,5980,495634.95
google,13244,EL CARMEN DE BOLÍVAR,38386,2541160.53
microsoft,13244,EL CARMEN DE BOLÍVAR,24235,2189240.2
google,13248,EL GUAMO,4923,368800.06
microsoft,13248,EL GUAMO,3056,292713.73
google,13442,MARÍA LA BAJA,20569,1454945.48
microsoft,13442,MARÍA LA BAJA,13881,1323983.23
google,13473,MORALES,11982,876518.4
microsoft,13473,MORALES,6896,704421.12
google,13654,SAN JACINTO,14706,972149.96
microsoft,13654,SAN JACINTO,9088,870540.98
google,13657,SAN JUAN NEPOMUCENO,21831,1440628.47
microsoft,13657,SAN JUAN NEPOMUCENO,11579,1194791.67
google,13670,SAN PABLO,15636,1114137.81
microsoft,13670,SAN PABLO,9776,1117607.87
google,13688,SANTA ROSA DEL SUR,18908,1483394.81
microsoft,13688,SANTA ROSA DEL SUR,13933,1603908.36
google,13744,SIMITÍ,11018,838015.51
microsoft,13744,SIMITÍ,7194,803078.16
google,13894,ZAMBRANO,6080,440639.47
microsoft,13894,ZAMBRANO,3500,353037.46
google,18001,FLORENCIA,58135,7334010.74
microsoft,18001,FLORENCIA,26896,6683829.91
google,18029,ALBANIA,3012,329800.19
microsoft,18029,ALBANIA,2096,350136.85
google,18094,BELÉN DE LOS ANDAQUÍES,5328,572601.41
microsoft,18094,BELÉN DE LOS ANDAQUÍES,3765,575875.92
google,18150,CARTAGENA DEL CHAIRÁ,15932,1849062.77
microsoft,18150,CARTAGENA DEL CHAIRÁ,14037,2140262.26
google,18205,CURILLO,3856,396521.06
microsoft,18205,CURILLO,2503,393675.82
google,18247,EL DONCELLO,9151,1178818.13
microsoft,18247,EL DONCELLO,5815,1154345.41
google,18256,EL PAUJIL,6283,736039.03
microsoft,18256,EL PAUJIL,4686,798020.48
google,18410,LA MONTAÑITA,9501,927367.91
microsoft,18410,LA MONTAÑITA,7701,977897.71
google,18460,MILÁN,3630,363148.13
microsoft,18460,MILÁN,3690,533021.15
google,18479,MORELIA,2402,274564.25
microsoft,18479,MORELIA,1558,249867.08
google,18592,PUERTO RICO,12306,1321342.94
microsoft,18592,PUERTO RICO,11430,1746377.49
google,18610,SAN JOSÉ DEL FRAGUA,5240,524907.69
microsoft,18610,SAN JOSÉ DEL FRAGUA,4850,623892.75
google,18753,SAN VICENTE DEL CAGUÁN,21599,2547893.85
microsoft,18753,SAN VICENTE DEL CAGUÁN,23587,3756489.48
google,18756,SOLANO,5708,575625.73
microsoft,18756,SOLANO,6171,711838.04
google,18785,SOLITA,2992,306588.06
microsoft,18785,SOLITA,2508,322018.44
google,18860,VALPARAÍSO,4922,536976.25
microsoft,18860,VALPARAÍSO,4367,634320.35
google,19050,ARGELIA,13691,976347.96
microsoft,19050,ARGELIA,9940,1040477.78
google,19075,BALBOA,12679,882242.35
microsoft,19075,BALBOA,8853,900352.57
google,19110,BUENOS AIRES,13439,1079903.46
microsoft,19110,BUENOS AIRES,11444,1127879.21
google,19130,CAJIBÍO,41281,2573777.82
microsoft,19130,CAJIBÍO,23771,2270334.69
google,19137,CALDONO,15303,1235068.39
microsoft,19137,CALDONO,12547,1179455.99
google,19142,CALOTO,12220,1288623.58
microsoft,19142,CALOTO,9562,1236460.31
google,19212,CORINTO,10517,901540.68
microsoft,19212,CORINTO,8784,1021920.92
google,19256,EL TAMBO,38900,2449152.18
microsoft,19256,EL TAMBO,34366,3051941.0
google,19318,GUAPI,6403,537166.29
microsoft,19318,GUAPI,5344,564062.43
google,19364,JAMBALÓ,6514,413708.23
microsoft,19364,JAMBALÓ,5065,430806.9
google,19418,LÓPEZ,24,1033.28
microsoft,19418,LÓPEZ,5967,511444.52
google,19450,MERCADERES,11486,904723.62
microsoft,19450,MERCADERES,7167,789044.43
google,19455,MIRANDA,10353,1211334.24
microsoft,19455,MIRANDA,6625,1056563.63
google,19473,MORALES,31057,1965301.82
microsoft,19473,MORALES,16396,1487640.96
google,19532,PATÍA,17995,1497775.72
microsoft,19532,PATÍA,11031,1359599.37
google,19548,PIENDAMÓ,30220,2622820.81
microsoft,19548,PIENDAMÓ,16673,2217359.97
google,19698,SANTANDER DE QUILICHAO,35691,3842935.1
microsoft,19698,SANTANDER DE QUILICHAO,30841,4234663.51
google,19780,SUÁREZ,14544,890893.92
microsoft,19780,SUÁREZ,10556,926119.21
google,19809,TIMBIQUÍ,5938,450872.12
microsoft,19809,TIMBIQUÍ,5178,560380.89
google,19821,TORIBIO,11452,779021.93
microsoft,19821,TORIBIO,10253,901024.59
google,20001,VALLEDUPAR,171425,15306269.53
microsoft,20001,VALLEDUPAR,14969,1527932.73
google,20013,AGUSTÍN CODAZZI,34733,2699284.28
microsoft,20013,AGUSTÍN CODAZZI,2575,192102.86
google,20045,BECERRIL,12958,922818.81
microsoft,20045,BECERRIL,8000,793821.93
google,20400,LA JAGUA DE IBIRICO,20110,1640398.04
microsoft,20400,LA JAGUA DE IBIRICO,14624,1669986.71
google,20443,MANAURE BALCÓN DEL CESAR,5951,461127.77
microsoft,20443,MANAURE BALCÓN DEL CESAR,3441,421247.27
google,20570,PUEBLO BELLO,15833,983498.53
microsoft,20570,PUEBLO BELLO,1592,78705.21
google,20621,LA PAZ,20413,1372123.08
microsoft,20621,LA PAZ,3539,335383.09
google,20750,SAN DIEGO,12205,899234.85
microsoft,20750,SAN DIEGO,48,4043.88
google,23466,MONTELÍBANO,28089,2506824.18
microsoft,23466,MONTELÍBANO,18723,2498713.98
google,23580,PUERTO LIBERTADOR,14553,1128174.75
microsoft,23580,PUERTO LIBERTADOR,13728,1260961.08
google,23682,SAN JOSE DE URE,4028,271056.41
microsoft,23682,SAN JOSE DE URE,4003,364123.26
google,23807,TIERRALTA,43123,3078702.71
microsoft,23807,TIERRALTA,4190,345709.21
google,23855,VALENCIA,25094,1711622.33
microsoft,23855,VALENCIA,0,0.0
google,27006,ACANDÍ,6395,463386.29
microsoft,27006,ACANDÍ,2010,180312.01
google,27099,BOJAYA,0,0.0
microsoft,27099,BOJAYA,2004,172831.14
google,27150,CARMEN DEL DARIEN,281,12611.78
microsoft,27150,CARMEN DEL DARIEN,3832,307925.64
google,27205,CONDOTO,239,18001.88
microsoft,27205,CONDOTO,141,11090.64
google,27250,EL LITORAL DEL SAN JUAN,309,38131.48
microsoft,27250,EL LITORAL DEL SAN JUAN,1067,100736.31
google,27361,ISTMINA,6766,668940.19
microsoft,27361,ISTMINA,24,1882.31
google,27425,MEDIO ATRATO,313,19420.56
microsoft,27425,MEDIO ATRATO,1615,155758.71
google,27450,MEDIO SAN JUAN,0,0.0
microsoft,27450,MEDIO SAN JUAN,0,0.0
google,27491,NÓVITA,0,0.0
microsoft,27491,NÓVITA,907,92695.52
google,27615,RIOSUCIO,1000,55743.69
microsoft,27615,RIOSUCIO,6107,500468.33
google,27745,SIPÍ,1,9.84
microsoft,27745,SIPÍ,319,21806.13
google,27800,UNGUÍA,5418,452923.86
microsoft,27800,UNGUÍA,5986,540767.42
google,41020,ALGECIRAS,12338,1125460.66
microsoft,41020,ALGECIRAS,8278,916330.89
google,44090,DIBULLA,23094,1319788.85
microsoft,44090,DIBULLA,12003,956486.5
google,44279,FONSECA,23632,1697365.83
microsoft,44279,FONSECA,13332,1543214.11
google,44650,SAN JUAN DEL CESAR,28564,2011270.04
microsoft,44650,SAN JUAN DEL CESAR,15579,1722984.31
google,47001,SANTA MARTA,183652,15966845.25
microsoft,47001,SANTA MARTA,67663,14207992.34
google,47053,ARACATACA,19780,1705776.82
microsoft,47053,ARACATACA,9652,967181.01
google,47189,CIÉNAGA,42068,3955667.01
microsoft,47189,CIÉNAGA,21990,3473952.89
google,47288,FUNDACIÓN,30591,2522223.39
microsoft,47288,FUNDACIÓN,15059,1888534.25
google,50325,MAPIRIPÁN,6776,513115.74
microsoft,50325,MAPIRIPÁN,4059,434827.4
google,50330,MESETAS,5795,534441.59
microsoft,50330,MESETAS,6706,819259.5
google,50350,LA MACARENA,9900,1054833.66
microsoft,50350,LA MACARENA,12894,1788025.39
google,50370,URIBE,3567,294460.56
microsoft,50370,URIBE,6705,704835.39
google,50450,PUERTO CONCORDIA,5893,470322.46
microsoft,50450,PUERTO CONCORDIA,3682,385037.19
google,50577,PUERTO LLERAS,6595,574223.52
microsoft,50577,PUERTO LLERAS,5569,647915.67
google,50590,PUERTO RICO,9290,746226.62
microsoft,50590,PUERTO RICO,7420,782480.79
google,50711,VISTA HERMOSA,12234,1075514.16
microsoft,50711,VISTA HERMOSA,9989,1091878.68
google,52079,BARBACOAS,6234,450810.86
microsoft,52079,BARBACOAS,8429,829711.42
google,52233,CUMBITARA,5350,356441.99
microsoft,52233,CUMBITARA,3975,364685.9
google,52250,EL CHARCO,5210,368789.83
microsoft,52250,EL CHARCO,6503,615121.32
google,52256,EL ROSARIO,7594,450650.77
microsoft,52256,EL ROSARIO,4855,401191.47
google,52390,LA TOLA,2009,157891.57
microsoft,52390,LA TOLA,1510,157539.96
google,52405,LEIVA,6096,393253.5
microsoft,52405,LEIVA,3980,375343.01
google,52418,LOS ANDES,7184,417755.71
microsoft,52418,LOS ANDES,3875,303296.99
google,52427,MAGÜI,2548,235262.11
microsoft,52427,MAGÜI,3442,400357.62
google,52473,MOSQUERA,597,39962.92
microsoft,52473,MOSQUERA,1731,186676.47
google,52490,OLAYA HERRERA,1208,73159.76
microsoft,52490,OLAYA HERRERA,4394,451502.32
google,52520,FRANCISCO PIZARRO,656,41714.7
microsoft,52520,FRANCISCO PIZARRO,1845,169587.92
google,52540,POLICARPA,7628,506467.79
microsoft,52540,POLICARPA,5303,485235.38
google,52612,RICAURTE,196,10848.92
